score_id,user_id,company_id,date,churn_probability,state,logins_that_day,time_spent_mins
44,1,1,2022-03-12,0.01,Active,3,65.14
45,1,1,2022-03-17,0.01,Active,5,129.46
46,1,1,2022-03-21,0.01,Active,2,46.14
47,1,1,2022-03-26,0.01,Active,4,102.29
48,1,1,2022-03-30,0.01,Active,6,148.32
49,1,1,2022-04-06,0.01,Active,4,105.09
50,1,1,2022-04-12,0.01,Active,3,83.34
51,1,1,2022-04-19,0.01,Active,7,168.0
52,1,1,2022-04-22,0.01,Active,6,141.82
53,1,1,2022-04-28,0.01,Active,6,149.14
54,1,1,2022-05-03,0.01,Active,5,131.33
55,1,1,2022-05-06,0.01,Active,5,116.28
56,1,1,2022-05-09,0.01,Active,2,48.18
57,1,1,2022-05-15,0.01,Active,5,132.39
58,1,1,2022-05-22,0.01,Active,3,68.57
59,1,1,2022-05-26,0.01,Active,2,49.26
60,1,1,2022-06-01,0.01,Active,3,71.92
61,1,1,2022-06-04,0.01,Active,6,155.32
62,1,1,2022-06-08,0.01,Active,3,65.67
63,1,1,2022-06-11,0.01,Active,2,48.78
64,1,1,2022-06-14,0.01,Active,6,144.68
65,1,1,2022-06-21,0.01,Active,3,71.04
66,1,1,2022-06-25,0.01,Active,4,91.22
67,1,1,2022-06-29,0.01,Active,6,140.94
68,1,1,2022-07-05,0.01,Active,5,123.33
69,1,1,2022-07-12,0.01,Active,2,46.01
70,1,1,2022-07-15,0.01,Active,5,126.15
71,1,1,2022-07-19,0.01,Active,2,56.94
72,1,1,2022-07-23,0.01,Active,4,103.47
73,1,1,2022-07-27,0.01,Active,5,124.59
74,1,1,2022-07-30,0.01,Active,4,92.35
75,1,1,2022-08-03,0.01,Active,3,83.3
76,1,1,2022-08-09,0.01,Active,7,172.19
77,1,1,2022-08-15,0.01,Active,3,74.39
78,1,1,2022-08-20,0.01,Active,4,101.25
79,1,1,2022-08-25,0.01,Active,7,179.4
80,1,1,2022-08-29,0.01,Active,5,124.99
81,1,1,2022-09-03,0.01,Active,5,118.36
82,1,1,2022-09-10,0.01,Active,4,109.81
83,1,1,2022-09-13,0.01,Active,2,42.75
84,1,1,2022-09-17,0.01,Active,4,99.12
85,1,1,2022-09-24,0.01,Active,4,90.13
86,1,1,2022-10-01,0.01,Active,6,140.34
87,1,1,2022-10-05,0.01,Active,3,67.98
88,1,1,2022-10-10,0.01,Active,4,97.46
89,1,1,2022-10-14,0.01,Active,3,84.83
90,1,1,2022-10-20,0.01,Active,6,149.52
91,1,1,2022-10-23,0.01,Active,6,155.69
92,1,1,2022-10-26,0.06,Active,1,19.23
93,1,1,2022-11-01,0.11,Active,1,28.69
94,1,1,2022-11-04,0.02,Active,3,84.23
95,1,1,2022-11-10,0.01,Active,3,76.28
96,1,1,2022-11-17,0.01,Active,6,142.8
97,1,1,2022-11-24,0.06,Active,1,23.74
98,1,1,2022-12-01,0.01,Active,5,115.59
99,1,1,2022-12-07,0.01,Active,5,133.82
100,1,1,2022-12-13,0.01,Active,6,155.96
101,1,1,2022-12-17,0.01,Active,4,97.79
102,1,1,2022-12-22,0.01,Active,4,92.04
103,1,1,2022-12-29,0.01,Active,6,142.07
104,1,1,2023-01-05,0.01,Active,4,90.25
105,1,1,2023-01-12,0.01,Active,7,168.39
106,1,1,2023-01-17,0.01,Active,4,91.27
107,1,1,2023-01-23,0.01,Active,4,108.88
108,1,1,2023-01-30,0.01,Active,4,92.71
109,1,1,2023-02-06,0.01,Active,4,96.69
110,1,1,2023-02-13,0.01,Active,4,102.06
111,1,1,2023-02-17,0.01,Active,4,104.7
112,1,1,2023-02-21,0.01,Active,5,131.33
113,1,1,2023-02-28,0.01,Active,7,168.6
114,1,1,2023-03-06,0.01,Active,5,131.63
115,1,1,2023-03-12,0.01,Active,4,96.06
116,1,1,2023-03-18,0.01,Active,2,59.81
117,1,1,2023-03-25,0.01,Active,5,130.81
118,1,1,2023-04-01,0.06,Active,1,30.38
119,1,1,2023-04-08,0.01,Active,7,178.55
120,1,1,2023-04-14,0.06,Active,1,20.17
121,1,1,2023-04-21,0.01,Active,3,72.48
122,1,1,2023-04-28,0.01,Active,3,74.66
123,1,1,2023-05-01,0.01,Active,3,71.24
124,1,1,2023-05-07,0.01,Active,4,98.76
125,1,1,2023-05-12,0.06,Active,1,31.98
126,1,1,2023-05-16,0.01,Active,5,126.04
127,1,1,2023-05-22,0.01,Active,6,143.69
128,1,1,2023-05-25,0.01,Active,3,76.84
129,1,1,2023-05-29,0.01,Active,3,67.04
130,1,1,2023-06-03,0.01,Active,4,95.25
131,1,1,2023-06-08,0.01,Active,6,147.85
132,1,1,2023-06-14,0.01,Active,4,104.12
133,1,1,2023-06-17,0.01,Active,3,69.77
134,1,1,2023-06-21,0.01,Active,5,126.93
135,1,1,2023-06-27,0.01,Active,4,93.34
136,1,1,2023-07-03,0.01,Active,2,59.04
137,1,1,2023-07-09,0.01,Active,7,174.9
138,1,1,2023-07-15,0.01,Active,2,51.31
139,1,1,2023-07-18,0.01,Active,4,95.77
140,1,1,2023-07-24,0.01,Active,5,126.45
141,1,1,2023-07-29,0.01,Active,3,73.83
142,1,1,2023-08-02,0.01,Active,2,45.26
143,1,1,2023-08-05,0.01,Active,4,101.76
144,1,1,2023-08-11,0.01,Active,5,130.7
145,1,1,2023-08-18,0.01,Active,6,151.94
146,1,1,2023-08-23,0.01,Active,6,159.05
147,1,1,2023-08-26,0.01,Active,4,109.85
148,1,1,2023-08-30,0.01,Active,4,96.44
149,1,1,2023-09-05,0.01,Active,4,102.65
150,1,1,2023-09-08,0.01,Active,6,155.0
151,1,1,2023-09-14,0.01,Active,5,115.05
152,1,1,2023-09-20,0.01,Active,3,72.95
153,1,1,2023-09-26,0.01,Active,4,96.76
154,1,1,2023-10-02,0.06,Active,1,16.99
155,1,1,2023-10-05,0.01,Active,5,115.01
156,1,1,2023-10-09,0.01,Active,3,66.87
157,1,1,2023-10-13,0.01,Active,6,146.11
158,1,1,2023-10-16,0.06,Active,1,24.54
159,1,1,2023-10-22,0.01,Active,3,71.87
160,1,1,2023-10-26,0.06,Active,1,22.66
161,1,1,2023-10-31,0.01,Active,3,72.65
162,1,1,2023-11-04,0.01,Active,7,165.17
163,1,1,2023-11-08,0.01,Active,6,153.73
164,1,1,2023-11-11,0.01,Active,3,79.6
165,1,1,2023-11-15,0.01,Active,5,116.68
166,1,1,2023-11-22,0.01,Active,3,82.52
167,1,1,2023-11-26,0.01,Active,5,116.09
168,1,1,2023-12-02,0.06,Active,1,24.99
169,1,1,2023-12-05,0.01,Active,3,72.74
170,1,1,2023-12-12,0.01,Active,4,90.33
171,1,1,2023-12-15,0.01,Active,6,145.73
172,1,1,2023-12-21,0.01,Active,3,75.73
173,1,1,2023-12-26,0.01,Active,5,134.49
174,1,1,2024-01-02,0.01,Active,5,123.75
175,1,1,2024-01-06,0.01,Active,4,99.07
176,1,1,2024-01-10,0.01,Active,3,67.74
177,1,1,2024-01-15,0.01,Active,7,170.18
178,1,1,2024-01-20,0.01,Active,2,56.14
179,1,1,2024-01-27,0.01,Active,5,125.22
180,1,1,2024-01-31,0.01,Active,3,80.47
181,1,1,2024-02-03,0.01,Active,5,115.88
182,1,1,2024-02-09,0.01,Active,4,93.58
183,1,1,2024-02-15,0.01,Active,3,73.33
184,1,1,2024-02-18,0.01,Active,3,75.04
185,1,1,2024-02-25,0.01,Active,4,107.54
186,1,1,2024-03-01,0.01,Active,3,74.13
187,1,1,2024-03-06,0.01,Active,3,72.37
188,1,1,2024-03-10,0.01,Active,2,40.13
189,1,1,2024-03-15,0.01,Active,3,80.18
190,1,1,2024-03-20,0.01,Active,4,109.66
191,1,1,2024-03-24,0.06,Active,1,33.43
192,1,1,2024-03-29,0.01,Active,3,66.91
193,1,1,2024-04-01,0.01,Active,5,123.7
194,1,1,2024-04-06,0.01,Active,6,156.64
195,1,1,2024-04-10,0.01,Active,2,55.6
196,1,1,2024-04-14,0.01,Active,5,123.13
197,1,1,2024-04-18,0.01,Active,4,95.3
198,1,1,2024-04-23,0.06,Active,1,31.72
199,1,1,2024-04-27,0.01,Active,6,140.98
200,1,1,2024-05-01,0.01,Active,5,126.12
201,1,1,2024-05-04,0.06,Active,1,16.23
202,1,1,2024-05-08,0.01,Active,5,127.61
203,1,1,2024-05-13,0.06,Active,1,18.96
204,1,1,2024-05-16,0.11,Active,1,33.85
205,1,1,2024-05-22,0.01,Active,4,97.65
206,1,1,2024-05-26,0.01,Active,4,107.67
207,1,1,2024-05-30,0.01,Active,5,132.66
208,1,1,2024-06-05,0.01,Active,4,102.85
209,1,1,2024-06-12,0.01,Active,6,147.18
210,1,1,2024-06-19,0.01,Active,4,95.41
211,1,1,2024-06-22,0.01,Active,2,50.59
212,1,1,2024-06-26,0.01,Active,4,94.82
213,1,1,2024-06-29,0.01,Active,6,147.1
214,1,1,2024-07-03,0.01,Active,6,156.12
215,1,1,2024-07-06,0.01,Active,7,167.84
216,1,1,2024-07-12,0.01,Active,3,74.81
217,1,1,2024-07-16,0.01,Active,6,140.01
218,1,1,2024-07-20,0.01,Active,3,66.19
219,1,1,2024-07-24,0.01,Active,6,159.21
220,1,1,2024-07-30,0.01,Active,2,46.04
221,1,1,2024-08-05,0.01,Active,3,79.14
222,1,1,2024-08-12,0.01,Active,4,101.78
223,1,1,2024-08-17,0.01,Active,4,90.04
224,1,1,2024-08-24,0.01,Active,4,96.36
225,1,1,2024-08-31,0.01,Active,4,96.62
226,1,1,2024-09-05,0.01,Active,3,78.4
227,1,1,2024-09-08,0.01,Active,2,53.86
228,1,1,2024-09-11,0.01,Active,5,129.65
229,1,1,2024-09-17,0.01,Active,5,122.51
230,1,1,2024-09-24,0.01,Active,3,66.47
231,1,1,2024-09-29,0.06,Active,1,21.84
232,1,1,2024-10-02,0.01,Active,2,51.88
233,1,1,2024-10-05,0.01,Active,4,107.8
234,1,1,2024-10-09,0.01,Active,6,151.08
235,1,1,2024-10-14,0.01,Active,2,40.99
236,1,1,2024-10-18,0.01,Active,3,73.55
237,1,1,2024-10-25,0.01,Active,2,40.51
238,1,1,2024-10-28,0.01,Active,2,55.7
239,1,1,2024-11-02,0.01,Active,6,143.7
240,1,1,2024-11-08,0.01,Active,4,99.3
241,1,1,2024-11-11,0.06,Active,1,28.36
242,1,1,2024-11-18,0.01,Active,5,131.82
243,1,1,2024-11-25,0.01,Active,5,124.53
244,1,1,2024-11-28,0.01,Active,7,181.01
245,1,1,2024-12-01,0.01,Active,2,59.44
246,1,1,2024-12-07,0.01,Active,4,109.95
247,1,1,2024-12-12,0.06,Active,1,22.76
248,1,1,2024-12-17,0.01,Active,4,105.73
249,1,1,2024-12-23,0.01,Active,4,92.96
250,1,1,2024-12-26,0.01,Active,5,130.71
251,1,1,2025-01-01,0.01,Active,6,149.71
252,1,1,2025-01-06,0.01,Active,4,102.17
253,1,1,2025-01-11,0.01,Active,3,74.5
254,1,1,2025-01-16,0.01,Active,4,106.86
255,1,1,2025-01-20,0.01,Active,5,123.86
256,1,1,2025-01-26,0.06,Active,1,23.83
257,1,1,2025-02-01,0.01,Active,3,75.31
258,1,1,2025-02-08,0.01,Active,4,107.59
259,1,1,2025-02-12,0.01,Active,2,49.13
260,1,1,2025-02-17,0.01,Active,6,147.94
261,1,1,2025-02-21,0.01,Active,6,148.92
262,1,1,2025-02-28,0.01,Active,3,81.75
263,1,1,2025-03-03,0.01,Active,2,40.99
264,1,1,2025-03-07,0.01,Active,4,94.13
265,1,1,2025-03-10,0.01,Active,4,93.46
266,1,1,2025-03-17,0.01,Active,4,107.91
267,1,1,2025-03-21,0.01,Active,5,125.41
268,1,1,2025-03-24,0.01,Active,5,127.95
269,1,1,2025-03-27,0.01,Active,2,59.77
270,1,1,2025-04-01,0.01,Active,2,50.35
271,1,1,2025-04-08,0.01,Active,5,117.8
272,1,1,2025-04-13,0.01,Active,5,122.77
273,1,1,2025-04-20,0.01,Active,5,129.27
274,1,1,2025-04-26,0.01,Active,6,156.91
275,1,1,2025-04-30,0.01,Active,2,42.56
276,1,1,2025-05-04,0.06,Active,1,22.11
277,1,1,2025-05-09,0.01,Active,5,120.88
278,1,1,2025-05-16,0.01,Active,5,124.44
279,1,1,2025-05-22,0.01,Active,4,91.08
280,1,1,2025-05-26,0.01,Active,6,157.86
281,1,1,2025-05-30,0.01,Active,5,127.62
282,1,1,2025-06-02,0.01,Active,3,80.22
283,1,1,2025-06-08,0.01,Active,4,98.67
284,1,1,2025-06-14,0.06,Active,1,25.68
285,1,1,2025-06-19,0.01,Active,2,53.53
286,1,1,2025-06-24,0.01,Active,2,47.67
287,1,1,2025-06-27,0.01,Active,4,104.56
288,1,1,2025-07-01,0.01,Active,5,130.0
289,1,1,2025-07-07,0.01,Active,2,54.54
290,1,1,2025-07-14,0.01,Active,2,47.33
291,1,1,2025-07-19,0.01,Active,5,126.88
292,1,1,2025-07-22,0.01,Active,2,48.89
293,1,1,2025-07-26,0.01,Active,2,48.42
294,1,1,2025-08-02,0.01,Active,3,81.61
295,1,1,2025-08-05,0.06,Active,1,24.95
296,1,1,2025-08-12,0.01,Active,5,123.2
297,1,1,2025-08-16,0.01,Active,3,65.05
298,1,1,2025-08-23,0.01,Active,2,55.59
299,1,1,2025-08-28,0.01,Active,5,120.28
300,1,1,2025-08-31,0.01,Active,5,121.25
301,1,1,2025-09-03,0.01,Active,4,102.94
302,1,1,2025-09-10,0.01,Active,2,56.3
303,1,1,2025-09-16,0.01,Active,6,157.01
304,1,1,2025-09-20,0.01,Active,4,104.53
305,1,1,2025-09-23,0.01,Active,6,156.05
306,1,1,2025-09-29,0.01,Active,5,132.25
307,1,1,2025-10-03,0.01,Active,4,107.75
308,1,1,2025-10-08,0.01,Active,7,176.53
309,1,1,2025-10-13,0.01,Active,7,179.01
310,1,1,2025-10-17,0.01,Active,5,128.53
311,1,1,2025-10-24,0.06,Active,1,27.87
312,1,1,2025-10-30,0.01,Active,2,46.41
313,1,1,2025-11-06,0.01,Active,7,172.57
314,1,1,2025-11-12,0.01,Active,4,107.13
315,1,1,2025-11-18,0.01,Active,2,48.25
316,1,1,2025-11-21,0.01,Active,7,171.09
317,1,1,2025-11-27,0.01,Active,3,81.33
318,1,1,2025-12-04,0.01,Active,6,153.14
319,1,1,2025-12-08,0.01,Active,4,106.6
320,1,1,2025-12-15,0.06,Active,1,32.94
321,1,1,2025-12-21,0.01,Active,5,118.92
322,1,1,2025-12-25,0.01,Active,4,96.76
323,1,1,2026-01-01,0.01,Active,5,128.17
324,1,1,2026-01-07,0.01,Active,7,165.97
325,1,1,2026-01-13,0.01,Active,4,101.57
326,1,1,2026-01-19,0.01,Active,6,150.08
327,1,1,2026-01-23,0.01,Active,5,134.41
328,1,1,2026-01-29,0.01,Active,6,156.86
329,1,1,2026-02-05,0.01,Active,2,52.48
330,1,1,2026-02-09,0.01,Active,7,178.89
331,1,1,2026-02-14,0.01,Active,6,151.41
332,1,1,2026-02-21,0.01,Active,4,100.45
333,1,1,2026-02-24,0.01,Active,3,84.67
334,1,1,2026-02-27,0.01,Active,4,90.65
335,1,1,2026-03-06,0.01,Active,6,144.75
336,1,1,2026-03-11,0.01,Active,5,123.33
337,1,1,2026-03-18,0.01,Active,3,70.03
338,1,1,2026-03-24,0.01,Active,5,125.93
339,1,1,2026-03-28,0.01,Active,4,109.67
340,1,1,2026-04-04,0.01,Active,4,98.57
341,1,1,2026-04-11,0.01,Active,2,49.33
342,1,1,2026-04-16,0.01,Active,3,77.31
343,1,1,2026-04-23,0.01,Active,3,80.68
344,1,1,2026-04-27,0.01,Active,3,68.19
345,1,1,2026-05-02,0.01,Active,4,96.64
346,1,1,2026-05-09,0.01,Active,6,156.47
347,1,1,2026-05-14,0.01,Active,4,102.27
348,1,1,2026-05-19,0.01,Active,2,45.13
349,1,1,2026-05-26,0.01,Active,7,173.91
350,1,1,2026-05-30,0.01,Active,5,133.96
351,1,1,2026-06-06,0.01,Active,3,66.31
352,1,1,2026-06-12,0.01,Active,4,106.57
353,1,1,2026-06-18,0.01,Active,2,49.18
354,1,1,2026-06-21,0.01,Active,5,116.41
355,1,1,2026-06-27,0.01,Active,6,148.09
356,1,1,2026-06-30,0.01,Active,3,79.41
357,2,1,2020-07-28,0.0215,Active,5,117.12
358,2,1,2020-07-31,0.01,Active,5,122.9
359,2,1,2020-08-07,0.01,Active,4,97.82
360,2,1,2020-08-11,0.01,Active,3,76.07
361,2,1,2020-08-14,0.01,Active,6,150.74
362,2,1,2020-08-19,0.01,Active,6,157.03
363,2,1,2020-08-26,0.01,Active,2,43.63
364,2,1,2020-09-02,0.01,Active,5,120.81
365,2,1,2020-09-09,0.01,Active,4,92.56
366,2,1,2020-09-16,0.01,Active,3,74.72
367,2,1,2020-09-23,0.01,Active,7,172.29
368,2,1,2020-09-26,0.01,Active,2,54.24
369,2,1,2020-10-01,0.01,Active,4,99.26
370,2,1,2020-10-08,0.01,Active,4,102.13
371,2,1,2020-10-12,0.01,Active,3,79.67
372,2,1,2020-10-15,0.01,Active,3,76.58
373,2,1,2020-10-18,0.01,Active,5,132.88
374,2,1,2020-10-22,0.01,Active,4,107.83
375,2,1,2020-10-26,0.01,Active,7,166.81
376,2,1,2020-10-30,0.01,Active,4,92.81
377,2,1,2020-11-06,0.01,Active,5,115.81
378,2,1,2020-11-11,0.01,Active,2,53.37
379,2,1,2020-11-17,0.01,Active,4,90.8
380,2,1,2020-11-24,0.01,Active,5,125.89
381,2,1,2020-11-29,0.01,Active,3,70.03
382,2,1,2020-12-05,0.01,Active,4,105.85
383,2,1,2020-12-09,0.01,Active,2,41.54
384,2,1,2020-12-13,0.01,Active,5,129.35
385,2,1,2020-12-18,0.01,Active,6,149.58
386,2,1,2020-12-24,0.01,Active,2,42.56
387,2,1,2020-12-31,0.01,Active,5,116.12
388,2,1,2021-01-06,0.01,Active,7,165.37
389,2,1,2021-01-11,0.01,Active,3,77.13
390,2,1,2021-01-15,0.01,Active,5,130.89
391,2,1,2021-01-22,0.01,Active,4,103.71
392,2,1,2021-01-25,0.01,Active,5,117.64
393,2,1,2021-02-01,0.01,Active,4,91.93
394,2,1,2021-02-04,0.01,Active,5,116.86
395,2,1,2021-02-11,0.01,Active,6,148.41
396,2,1,2021-02-17,0.01,Active,5,122.01
397,2,1,2021-02-24,0.01,Active,4,95.09
398,2,1,2021-02-27,0.01,Active,7,173.17
399,2,1,2021-03-02,0.01,Active,5,125.4
400,2,1,2021-03-07,0.01,Active,3,68.1
401,2,1,2021-03-14,0.01,Active,6,152.24
402,2,1,2021-03-18,0.01,Active,7,174.65
403,2,1,2021-03-23,0.01,Active,6,155.48
404,2,1,2021-03-26,0.01,Active,6,158.98
405,2,1,2021-03-31,0.01,Active,7,178.69
406,2,1,2021-04-03,0.01,Active,3,83.52
407,2,1,2021-04-07,0.01,Active,3,65.76
408,2,1,2021-04-14,0.01,Active,5,134.27
409,2,1,2021-04-18,0.01,Active,4,94.03
410,2,1,2021-04-23,0.01,Active,3,75.21
411,2,1,2021-04-26,0.01,Active,4,90.01
412,2,1,2021-05-02,0.01,Active,5,126.72
413,2,1,2021-05-05,0.01,Active,6,154.52
414,2,1,2021-05-10,0.01,Active,4,109.26
415,2,1,2021-05-13,0.01,Active,3,75.12
416,2,1,2021-05-18,0.01,Active,6,157.52
417,2,1,2021-05-24,0.01,Active,6,155.4
418,2,1,2021-05-30,0.01,Active,5,124.64
419,2,1,2021-06-03,0.01,Active,4,109.11
420,2,1,2021-06-08,0.01,Active,3,72.98
421,2,1,2021-06-15,0.01,Active,5,122.07
422,2,1,2021-06-19,0.01,Active,2,54.71
423,2,1,2021-06-23,0.01,Active,6,143.12
424,2,1,2021-06-29,0.01,Active,3,84.16
425,2,1,2021-07-04,0.01,Active,6,149.82
426,2,1,2021-07-09,0.01,Active,4,92.56
427,2,1,2021-07-16,0.01,Active,6,147.87
428,2,1,2021-07-19,0.01,Active,5,128.78
429,2,1,2021-07-26,0.01,Active,4,102.26
430,2,1,2021-07-30,0.01,Active,6,146.86
431,2,1,2021-08-05,0.01,Active,4,95.59
432,2,1,2021-08-12,0.01,Active,3,70.4
433,2,1,2021-08-18,0.01,Active,4,92.99
434,2,1,2021-08-24,0.01,Active,7,179.41
435,2,1,2021-08-31,0.01,Active,2,41.98
436,2,1,2021-09-05,0.01,Active,2,54.89
437,2,1,2021-09-12,0.01,Active,3,73.24
438,2,1,2021-09-19,0.01,Active,7,178.0
439,2,1,2021-09-24,0.01,Active,5,125.21
440,2,1,2021-09-27,0.01,Active,6,149.28
441,2,1,2021-10-02,0.01,Active,7,173.1
442,2,1,2021-10-07,0.01,Active,4,103.06
443,2,1,2021-10-13,0.01,Active,5,129.96
444,2,1,2021-10-17,0.06,Active,1,29.56
445,2,1,2021-10-20,0.01,Active,3,67.06
446,2,1,2021-10-27,0.01,Active,2,50.48
447,2,1,2021-11-03,0.01,Active,3,83.63
448,2,1,2021-11-08,0.01,Active,2,50.53
449,2,1,2021-11-13,0.01,Active,5,134.5
450,2,1,2021-11-19,0.01,Active,5,126.82
451,2,1,2021-11-26,0.01,Active,7,177.79
452,2,1,2021-12-03,0.01,Active,2,46.16
453,2,1,2021-12-06,0.01,Active,5,121.88
454,2,1,2021-12-12,0.01,Active,3,80.32
455,2,1,2021-12-15,0.01,Active,3,73.23
456,2,1,2021-12-19,0.01,Active,4,95.26
457,2,1,2021-12-26,0.01,Active,5,129.86
458,2,1,2021-12-29,0.01,Active,3,67.21
459,2,1,2022-01-05,0.01,Active,3,65.39
460,2,1,2022-01-09,0.01,Active,4,92.5
461,2,1,2022-01-12,0.01,Active,2,44.34
462,2,1,2022-01-18,0.01,Active,6,155.83
463,2,1,2022-01-22,0.01,Active,4,91.43
464,2,1,2022-01-27,0.06,Active,1,34.49
465,2,1,2022-02-02,0.11,Active,1,24.22
466,2,1,2022-02-06,0.01,Active,6,159.22
467,2,1,2022-02-09,0.01,Active,5,120.07
468,2,1,2022-02-12,0.06,Active,1,27.66
469,2,1,2022-02-17,0.01,Active,2,55.78
470,2,1,2022-02-23,0.01,Active,3,80.42
471,2,1,2022-03-02,0.06,Active,1,22.11
472,2,1,2022-03-05,0.01,Active,4,96.33
473,2,1,2022-03-10,0.01,Active,2,53.78
474,2,1,2022-03-13,0.01,Active,6,145.89
475,2,1,2022-03-17,0.01,Active,4,104.65
476,2,1,2022-03-24,0.01,Active,3,68.1
477,2,1,2022-03-29,0.01,Active,3,75.12
478,2,1,2022-04-05,0.01,Active,5,121.41
479,2,1,2022-04-11,0.01,Active,7,174.95
480,2,1,2022-04-16,0.01,Active,3,66.93
481,2,1,2022-04-20,0.06,Active,1,17.14
482,2,1,2022-04-26,0.01,Active,7,179.03
483,2,1,2022-05-03,0.06,Active,1,28.11
484,2,1,2022-05-09,0.01,Active,5,129.87
485,2,1,2022-05-12,0.01,Active,5,115.81
486,2,1,2022-05-16,0.06,Active,1,29.5
487,2,1,2022-05-23,0.01,Active,7,183.95
488,2,1,2022-05-26,0.01,Active,5,124.17
489,2,1,2022-05-30,0.01,Active,6,150.09
490,2,1,2022-06-06,0.01,Active,4,101.0
491,2,1,2022-06-12,0.01,Active,5,119.81
492,2,1,2022-06-19,0.01,Active,4,98.95
493,2,1,2022-06-24,0.01,Active,3,67.7
494,2,1,2022-06-28,0.01,Active,3,80.43
495,2,1,2022-07-05,0.01,Active,7,183.52
496,2,1,2022-07-10,0.01,Active,3,72.34
497,2,1,2022-07-15,0.01,Active,6,151.38
498,2,1,2022-07-20,0.01,Active,3,81.51
499,2,1,2022-07-23,0.01,Active,3,79.62
500,2,1,2022-07-26,0.01,Active,4,98.33
501,2,1,2022-07-30,0.01,Active,3,80.55
502,2,1,2022-08-02,0.01,Active,7,167.99
503,2,1,2022-08-05,0.01,Active,6,151.51
504,2,1,2022-08-11,0.01,Active,3,66.65
505,2,1,2022-08-17,0.01,Active,2,50.04
506,2,1,2022-08-21,0.01,Active,5,124.76
507,2,1,2022-08-28,0.01,Active,2,41.43
508,2,1,2022-09-04,0.01,Active,3,73.27
509,2,1,2022-09-09,0.01,Active,2,43.39
510,2,1,2022-09-15,0.01,Active,3,65.9
511,2,1,2022-09-20,0.06,Active,1,29.79
512,2,1,2022-09-24,0.01,Active,2,53.88
513,2,1,2022-09-27,0.01,Active,4,100.76
514,2,1,2022-10-02,0.01,Active,6,154.6
515,2,1,2022-10-05,0.01,Active,7,175.54
516,2,1,2022-10-09,0.01,Active,3,74.3
517,2,1,2022-10-14,0.06,Active,1,20.85
518,2,1,2022-10-20,0.01,Active,2,49.69
519,2,1,2022-10-24,0.01,Active,6,158.53
520,2,1,2022-10-31,0.01,Active,4,97.87
521,2,1,2022-11-05,0.01,Active,3,84.92
522,2,1,2022-11-08,0.01,Active,4,108.88
523,2,1,2022-11-13,0.01,Active,2,54.6
524,2,1,2022-11-17,0.01,Active,4,93.05
525,2,1,2022-11-22,0.01,Active,5,119.14
526,2,1,2022-11-26,0.01,Active,5,129.1
527,2,1,2022-11-30,0.01,Active,3,66.36
528,2,1,2022-12-04,0.01,Active,4,90.59
529,2,1,2022-12-10,0.01,Active,6,158.68
530,2,1,2022-12-15,0.01,Active,2,42.63
531,2,1,2022-12-22,0.01,Active,7,177.25
532,2,1,2022-12-25,0.01,Active,3,80.6
533,2,1,2022-12-31,0.01,Active,3,74.83
534,2,1,2023-01-03,0.01,Active,2,59.0
535,2,1,2023-01-07,0.06,Active,1,33.54
